Date,Open,High,Low,Close,Adj Close,Volume,Daily Return %,Daily Return
2024-06-08,9.660619,9.815447,9.024987,9.082176,9.082176,83418705,-5.987639094347888,-0.0598763909434788
2024-06-09,9.08217,9.172571,8.907247,9.064729,9.064729,49255289,-0.1920356038259559,-0.0019203560382595
2024-06-10,9.064215,9.331472,8.853012,8.975026,8.975026,71367885,-0.9839682752450276,-0.0098396827524502
2024-06-11,8.975091,9.117972,8.360481,8.421544,8.421544,111005183,-6.167592061183558,-0.0616759206118355
2024-06-12,8.421094,9.037245,8.155349,8.71559,8.71559,126925461,3.497122820384152,0.0349712282038415
2024-06-13,8.714952,8.753806,7.799386,7.85837,7.85837,90547630,-9.828878001852452,-0.0982887800185245
2024-06-14,7.856978,8.041203,7.393576,7.644132,7.644132,83918848,-2.7090059307789827,-0.0270900593077898
2024-06-15,7.644251,7.830914,7.603425,7.660273,7.660273,39426172,0.2095954201399251,0.0020959542013992
2024-06-16,7.659924,8.193217,7.504009,8.190637,8.190637,47929856,6.928436887885578,0.0692843688788557
2024-06-17,8.192727,8.313493,7.146741,7.258075,7.258075,109990211,-11.408313739735254,-0.1140831373973525
2024-06-18,7.258378,7.263034,6.072427,6.415599,6.415599,139423156,-11.611120280591615,-0.1161112028059161
2024-06-19,6.41292,6.638081,6.303361,6.513507,6.513507,81282624,1.5685054546134989,0.0156850545461349
2024-06-20,6.513507,6.789998,6.248918,6.361334,6.361334,72248023,-2.336268311372037,-0.0233626831137203
2024-06-21,6.362082,6.625219,6.273861,6.409583,6.409583,68830084,0.7466266546077145,0.0074662665460771
2024-06-22,6.408192,6.408771,6.214894,6.328256,6.328256,35966428,-1.2474033237456057,-0.012474033237456
2024-06-23,6.328173,6.542401,6.051938,6.080743,6.080743,45103844,-3.9099752803850274,-0.0390997528038502
2024-06-24,6.081105,6.726199,5.921342,6.723067,6.723067,103836875,10.55666692155456,0.1055666692155456
2024-06-25,6.722064,7.070893,6.689512,6.794921,6.794921,65161136,1.0838486512476055,0.010838486512476
2024-06-26,6.795448,6.863889,6.324716,6.417826,6.417826,59665207,-5.556984616761111,-0.0555698461676111
2024-06-27,6.417866,6.510977,6.232727,6.302524,6.302524,72068694,-1.797201748992579,-0.0179720174899257
2024-06-28,6.302498,6.471124,6.037113,6.053304,6.053304,60032293,-3.953892567677136,-0.0395389256767713
2024-06-29,6.053357,6.283387,6.003723,6.026708,6.026708,37643513,-0.440235062957627,-0.0044023506295762
2024-06-30,6.028177,6.271896,5.99304,6.191455,6.191455,41670573,2.708580056624084,0.0270858005662408
2024-07-01,6.190578,6.298838,5.64952,5.801215,5.801215,90757567,-6.289606560162884,-0.0628960656016288
2024-07-02,5.800902,5.970326,5.734016,5.818201,5.818201,49191230,0.2982122435442005,0.002982122435442
2024-07-03,5.817756,5.921377,5.28337,5.308065,5.308065,75322449,-8.760955254912721,-0.0876095525491272
2024-07-04,5.307661,5.32683,4.78255,4.896913,4.896913,92898552,-7.7387760823458915,-0.0773877608234589
2024-07-05,4.897031,5.033904,4.260833,4.814745,4.814745,130765993,-1.680324261782289,-0.0168032426178228
2024-07-06,4.814678,5.613623,4.78217,5.598799,5.598799,96056041,,0.1628605277445345
2024-07-07,5.60008,5.60008,5.066409,5.07899,5.07899,59422827,-9.305045642205112,-0.0930504564220511
2024-07-08,5.079029,6.240318,4.931938,6.03545,6.03545,182953169,,0.1883078438811827
2024-07-09,6.036545,7.350034,5.992517,7.262229,7.262229,247393883,,0.2030439597484984
2024-07-10,7.260079,7.418816,6.586126,6.831122,6.831122,156222098,-5.908434329709091,-0.0590843432970909
2024-07-11,6.83153,7.224475,6.308055,6.437032,6.437032,138273727,-5.774665411701325,-0.0577466541170132
2024-07-12,6.439932,6.707835,6.259866,6.370533,6.370533,111388363,-1.0776356023634996,-0.0107763560236349
2024-07-13,6.37205,6.464463,6.044272,6.088435,6.088435,84743752,-4.450922387614663,-0.0445092238761466
2024-07-14,6.089278,6.395341,6.089278,6.31199,6.31199,81171376,3.657445102687044,0.0365744510268704
