Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return %,Daily Return
2023-02-04,0.0055849999189376,0.0058479998260736,0.0054830000735819,0.0057169999927282,1942682,0.0,0.0,2.3634749455056414,0.0236347494550564
2023-02-05,0.0057169999927282,0.0069729997776448,0.0057060001417994,0.0065449997782707,3085490,0.0,0.0,14.483116784951594,0.1448311678495159
2023-02-06,0.0065489998087286,0.0074339997954666,0.0062580001540482,0.0071780001744627,3285889,0.0,0.0,9.604525639102308,0.096045256391023
2023-02-07,0.0071780001744627,0.0075300000607967,0.0069539998658001,0.0073979999870061,3095981,0.0,0.0,3.064917904656749,0.0306491790465674
2023-02-08,0.0073959999717772,0.0075650000944733,0.0069969999603927,0.0071700001135468,2637152,0.0,0.0,-3.0557038817307367,-0.0305570388173073
2023-02-09,0.0071709998883306,0.0072770002298057,0.006515999790281,0.0065879998728632,2588104,0.0,0.0,-8.12996826866667,-0.0812996826866667
2023-02-10,0.0065890001133084,0.0067610000260174,0.0062690000049769,0.0066740000620484,2238584,0.0,0.0,1.290028035791308,0.012900280357913
2023-02-11,0.0066729998216032,0.0067449999041855,0.0063749998807907,0.0063950000330805,1736736,0.0,0.0,-4.166039202079739,-0.0416603920207973
2023-02-12,0.0063959998078644,0.006705000065267,0.0063820001669228,0.0065950001589953,1852375,0.0,0.0,3.1113251580497683,0.0311132515804976
2023-02-13,0.0065930001437664,0.0066019999794662,0.0062580001540482,0.0064960001036524,1771801,0.0,0.0,-1.4712579705570308,-0.0147125797055703
2023-02-14,0.0065000001341104,0.0068069999106228,0.0063849999569356,0.0064989998936653,1995963,0.0,0.0,-0.0153883142224984,-0.0001538831422249
2023-02-15,0.0064989998936653,0.007226999849081,0.0064670001156628,0.0071720001287758,2327771,0.0,0.0,10.35544308542745,0.1035544308542744
2023-02-16,0.0071720001287758,0.0073489998467266,0.0068459999747574,0.0068859998136758,2478903,0.0,0.0,-3.9877343832231418,-0.0398773438322314
2023-02-17,0.0068950001150369,0.0075830002315342,0.0068419999442994,0.0074849999509751,2422569,0.0,0.0,8.556922785998273,0.0855692278599827
2023-02-18,0.0074849999509751,0.0079340003430843,0.0074189999140799,0.0077360002323985,2813675,0.0,0.0,3.353377195289105,0.033533771952891
2023-02-19,0.0077360002323985,0.0078360000625252,0.0075770001858472,0.0077669997699558,2540499,0.0,0.0,0.4007178984751526,0.0040071789847515
2023-02-20,0.007765999995172,0.007846999913454,0.007588000036776,0.0076509998179972,2372212,0.0,0.0,-1.4808160860970168,-0.0148081608609701
2023-02-21,0.0076500000432133,0.0076970001682639,0.0069590001367032,0.007135999854654,2582927,0.0,0.0,-6.718956675239437,-0.0671895667523943
2023-02-22,0.007135999854654,0.0074470001272857,0.0068129999563097,0.007048999890685,2439022,0.0,0.0,-1.2191699235007674,-0.0121916992350076
2023-02-23,0.007048999890685,0.0074669998139142,0.0068760002031922,0.0072510000318288,2350510,0.0,0.0,2.865656749558694,0.0286565674955869
2023-02-24,0.0072510000318288,0.0078710000962018,0.0072119999676942,0.0077160000801086,2999433,0.0,0.0,6.412909202022457,0.0641290920202245
2023-02-25,0.0077149998396635,0.008445999585092,0.007672999985516,0.0083769997581839,3377581,0.0,0.0,8.580686095636707,0.085806860956367
2023-02-26,0.0083769997581839,0.0091450000181794,0.0082240002229809,0.0090600000694394,3619056,0.0,0.0,8.153280780368219,0.0815328078036821
2023-02-27,0.0090600000694394,0.0115379998460412,0.0083999997004866,0.0107289999723434,6526004,0.0,0.0,,0.1842163234119346
2023-02-28,0.0107279997318983,0.0128110004588961,0.0101880002766847,0.0111819999292492,7625641,0.0,0.0,4.2319184255848645,0.0423191842558486
2023-03-01,0.0111819999292492,0.013217999599874,0.0111819999292492,0.0130719998851418,6649187,0.0,0.0,,0.1690216390494558
2023-03-02,0.0130719998851418,0.0148010002449154,0.0126639995723962,0.0142459999769926,10163122,0.0,0.0,8.98102893334034,0.0898102893334034
2023-03-03,0.0142489997670054,0.0144530003890395,0.0112929996103048,0.0126430001109838,8464973,0.0,0.0,-11.270964153851764,-0.1127096415385176
2023-03-04,0.0126480003818869,0.0133180003613233,0.0116560002788901,0.0122260004281997,5388910,0.0,0.0,-3.336495421770721,-0.0333649542177072
2023-03-05,0.0122210001572966,0.0125860003754496,0.0119899995625019,0.0124490000307559,4076120,0.0,0.0,1.8656400501162824,0.0186564005011628
2023-03-06,0.0124509995803236,0.0142109999433159,0.0123690003529191,0.014028999954462,6493585,0.0,0.0,12.67368426091768,0.1267368426091768
2023-03-07,0.014028999954462,0.0143999997526407,0.012555000372231,0.0127959996461868,7025570,0.0,0.0,-8.788939427453887,-0.0878893942745388
2023-03-08,0.0128049999475479,0.0130049996078014,0.0110409995540976,0.0116710001602768,6601684,0.0,0.0,-8.855914032926309,-0.088559140329263
2023-03-09,0.0116710001602768,0.0117589998990297,0.0099649997428059,0.0103630004450678,6882976,0.0,0.0,-11.207263278608153,-0.1120726327860815
2023-03-10,0.0103540001437067,0.0119219999760389,0.0093200001865625,0.011919000186026,7659861,0.0,0.0,15.114931626406513,0.1511493162640651
2023-03-11,0.0119249997660517,0.0127240000292658,0.0112279998138546,0.0121109997853636,6465841,0.0,0.0,1.5597486202172337,0.0155974862021723
2023-03-12,0.0121099995449185,0.012292000465095,0.0113719999790191,0.0120329996570944,4857388,0.0,0.0,-0.6358372478751267,-0.0063583724787512
2023-03-13,0.0120329996570944,0.0132959997281432,0.0120230000466108,0.0125759998336434,6089834,0.0,0.0,4.512591972267348,0.0451259197226734
2023-03-14,0.0125770000740885,0.0143780000507831,0.0120959999039769,0.0139469997957348,8784398,0.0,0.0,10.892897460252174,0.1089289746025217
2023-03-15,0.0139469997957348,0.0140570001676678,0.0125609999522566,0.013065000064671,6580873,0.0,0.0,-6.3239387967405705,-0.0632393879674057
2023-03-16,0.0130679998546838,0.0135920001193881,0.0127900000661611,0.0134929995983839,5288152,0.0,0.0,3.252217236196042,0.0325221723619604
2023-03-17,0.0134920002892613,0.0143849998712539,0.0134030003100633,0.0140599999576807,6086201,0.0,0.0,4.209899616378525,0.0420989961637852
2023-03-18,0.0140650002285838,0.0143060004338622,0.0136460000649094,0.0139800002798438,5522646,0.0,0.0,-0.6043366324819385,-0.0060433663248193
2023-03-19,0.0139800002798438,0.01698499917984,0.0139549998566508,0.0164930000901222,8414294,0.0,0.0,,0.179756778252831
2023-03-20,0.0164930000901222,0.0177619997411966,0.0157880000770092,0.0170450005680322,8521392,0.0,0.0,3.3468773109423435,0.0334687731094234
